© Der Bundeswahlleiter, Wiesbaden 2019;;;;;;;;;;
;;;;;;;;;;
Alphabetisches Verzeichnis der Wahlbewerber zur Bundestagswahl 2013;;;;;;;;;;
;;;;;;;;;;
Name, Vorname;Geburtsjahr;Beruf;Berufsschlüssel;Geschlecht;Partei;Land;Platz;Wahlkreis;"Gewählt: 1=über Wkr; 2=über LL";
Bersch, Johannes;1954;Rentner;95;1;REP;RP;4;;0;
Bertini, Rainer;1967;IT-Techniker;62;1;FREIE WÄHLER;;;110;0;
Bertram, Ute;1961;Bankfachwirtin;69;2;CDU;;;48;1;
Berweiler, Jan;1977;Arzt;84;1;Die PARTEI;BE;45;;0;
Besser, Helmut;1951;Freiberuflicher Künstler;83;1;FREIE WÄHLER;TH;5;193;0;
Besserer, Friedlinde;1953;Rechtsanwaltsfachangestellte;78;2;REP;BY;13;;0;
Bestehorn, Harald;1962;Diplom-Politologe (Dipl. rer. pol.);88;1;NPD;;;237;0;
Bethke, Christian;1978;Bankangestellter;69;1;PIRATEN;;;183;0;
Betz, Thomas Georg;1960;Diplom-Kaufmann;88;1;AfD;NW;35;;0;
Betzler, Anton;1953;EDV-Administrator;77;1;PIRATEN;;;257;0;
Beuermann, Bärbel;1955;Lehrerin;87;2;DIE LINKE;;;122;0;
Beuthel, Rainer;1950;Diplom-Bibliothekar;82;1;DIE LINKE;SH;10;;0;
Beutin, Lorenz Gösta;1978;Wissenschaftlicher Mitarbeiter;88;1;DIE LINKE;;;6;0;
Beyer, Dr. Richard Alexander;1969;Rechtsanwalt;81;1;FREIE WÄHLER;BY;42;;0;
Beyer, Katja;1984;Lehrerin;87;2;PIRATEN;NI;9;;0;
Beyer, Peter;1970;MdB, Rechtsanwalt;76;1;CDU;NW;51;105;1;
