# (c) Der Bundeswahlleiter, Wiesbaden 2019;;;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;;;
# Die Wahlbewerberinnen und Wahlbewerber zum 19. Deutschen Bundestag (24. September 2017);;;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;;;
# Codepage: UTF-8, Trennzeichen: Semikolon;;;;;;;;;;;;;;;;;;;;
# Stand: 4. September 2017 (2. Korrektur);;;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;;;
Titel;Namenszusatz;Name;Vorname;Geschlecht;Geburtsjahr;Wohnort;Geburtsort;Beruf;Berufsschlüssel;Wahlkreis_Land;Wahlkreis_Nr;Wahlkreis_Bez;Wahlkreis_ParteiKurzBez;Wahlkreis_ParteiBez;Liste_Land;Liste_ParteiKurzBez;Liste_ParteiBez;Liste_Platz;Wiederkandidatur;"Gewählt: 1=über Wkr; 2=über LL"
;;Ates;Özden;w;1970;Duisburg;Pinarbasi-Kayseri, Türkei;Kommunikationswissenschaftlerin;83;NW;115;Duisburg I;DIE LINKE;DIE LINKE;NW;DIE LINKE;DIE LINKE;21;;0
;;Ates;Zeki;m;1962;Grenzach-Wyhlen;Erzincan, Türkei;Industriearbeiter;21;BW;282;Lörrach – Müllheim;EB: Ates;"\Internationalistische Liste\""""";;;;;;0
;;Auerbach;Kerstin;w;1969;Burg;Burg;Lehrerin;84;ST;67;Börde – Jerichower Land;DIE LINKE;DIE LINKE;;;;;;0
;;Auerbach;Martin;m;1976;Esslingen am Neckar;Backnang;Jugend- und Heimerzieher;83;BW;261;Esslingen;DIE LINKE;DIE LINKE;;;;;;0
;;Auernhammer;Artur;m;1963;Weißenburg i.Bay.;Oberhochstatt;MdB / Landwirt;71;BY;241;Ansbach;CSU;Christlich-Soziale Union in Bayern e.V.;BY;CSU;Christlich-Soziale Union in Bayern e.V.;38;X;1
;;Augspurger;Helmut;m;1956;Mannheim;Mannheim;Industriekaufmann;71;;;;;;BW;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;21;;0
;;Augustin;Dennis;m;1970;Ludwigslust;Hamburg;Architekt;31;MV;12;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;AfD;Alternative für Deutschland;MV;AfD;Alternative für Deutschland;4;;0
;;Aulenbacher;Susanne;w;1958;Saarbrücken;Singen;Elektrikerin;26;;;;;;SL;MLPD;Marxistisch-Leninistische Partei Deutschlands;2;;0
;;Aulila;Marcel;m;1991;Spaichingen;Ulm;Angestellter im techn. Vertrieb;61;BW;285;Rottweil – Tuttlingen;FDP;Freie Demokratische Partei;BW;FDP;Freie Demokratische Partei;17;;0
;;Aumeier;Frank;m;1975;Cham;Kötzting;Sozialversicherungsfachangestellter;73;BY;234;Schwandorf;FREIE WÄHLER;FREIE WÄHLER;BY;FREIE WÄHLER;FREIE WÄHLER;11;;0
